Time Elapsed (s),Timestamp,Frequency,Moving Average
78.81749510765076,1756893451.154278,5976200.75911891,5976191.165133145
79.32332992553711,1756893451.660113,5976204.043243882,5976195.995180546
79.82774567604065,1756893452.164529,5976206.452062626,5976199.838678866
80.33052206039429,1756893452.667305,5976208.660171523,5976203.135318628
80.83756422996521,1756893453.174347,5976210.444689656,5976206.07185732
81.34213876724243,1756893453.678922,5976213.362924909,5976208.592618519
81.8448257446289,1756893454.181609,5976215.017377485,5976210.787445241
82.34966135025024,1756893454.686445,5976218.00196606,5976213.0974259265
82.85627055168152,1756893455.193054,5976217.247746973,5976214.814941017
83.360924243927,1756893455.697707,5976219.929147675,5976216.711832621
83.86556935310364,1756893456.202352,5976222.077496374,5976218.454746914
84.37028527259827,1756893456.707069,5976226.332569468,5976220.71778531
84.87538576126099,1756893457.212169,5976232.040323737,5976223.525456846
85.38191843032837,1756893457.718702,5976238.283822255,5976227.732671902
85.88640475273132,1756893458.223188,5976245.031845195,5976232.753211406
86.38994431495667,1756893458.726728,5976248.8965425575,5976238.117020642
86.89656805992126,1756893459.233351,5976252.026915318,5976243.2558898125
87.39935755729675,1756893459.736141,5976254.898646971,5976247.82755446
87.9019067287445,1756893460.23869,5976258.962270009,5976251.963244012
88.40430307388306,1756893460.741086,5976261.302203056,5976255.217315583
88.90869927406311,1756893461.245483,5976265.216326482,5976258.481272368
89.4139792919159,1756893461.750762,5976269.621295671,5976262.000148438
89.91633987426758,1756893462.253123,5976273.4036524985,5976265.701149544
90.41927194595337,1756893462.756055,5976278.233683274,5976269.555432196
90.92233991622925,1756893463.259123,5976276.431649552,5976272.581321495
91.42462587356567,1756893463.761409,5976273.862913928,5976274.310638985
91.93168473243713,1756893464.268468,5976271.472026439,5976274.680785139
92.43669557571411,1756893464.773479,5976267.0361571675,5976273.407286072
92.93949508666992,1756893465.276278,5976262.971549317,5976270.35485928
93.44468545913696,1756893465.781469,5976261.416217455,5976267.351772862
93.94897103309631,1756893466.285754,5976258.60416926,5976264.300023927
94.45478200912476,1756893466.791565,5976255.508725359,5976261.107363712
94.96183395385742,1756893467.298617,5976251.435484414,5976257.987229161
95.46628093719482,1756893467.803064,5976246.368798144,5976254.666678926
95.968989610672,1756893468.305773,5976238.51465201,5976250.086365838
96.47214818000793,1756893468.808931,5976232.669433301,5976244.8994186465
96.97497320175171,1756893469.311756,5976226.949209007,5976239.187515376
97.4800374507904,1756893469.816821,5976224.029707567,5976233.706360006
97.98520612716675,1756893470.321989,5976221.797400427,5976228.792080462
98.49161648750305,1756893470.8284,5976220.3759518685,5976225.164340434
98.99871444702148,1756893471.335497,5976219.129914994,5976222.456436773
99.50650000572205,1756893471.843283,5976218.660607202,5976220.798716413
100.01303744316101,1756893472.349821,5976217.014077889,5976219.395590475
100.51829957962036,1756893472.855083,5976215.211813951,5976218.0784731805
101.02057600021362,1756893473.357359,5976212.867155084,5976216.576713823
101.52768898010254,1756893473.864472,5976211.146675325,5976214.98006589
102.03052043914795,1756893474.367304,5976208.887426537,5976213.025429757
102.54132723808289,1756893474.878111,5976208.514131542,5976211.325440488
103.04386043548584,1756893475.380644,5976206.363231285,5976209.555723955
103.54883980751038,1756893475.885623,5976203.231611521,5976207.628615242
